[2026-06-10 10:02:53,390] 1025httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[2026-06-10 10:02:54,267] 1025httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[2026-06-10 10:02:55,153] 1025httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2026-06-10 10:02:55,162] 107dagshub - INFO - Accessing as saeesawant0102
[2026-06-10 10:02:56,042] 1025httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/saeesawant0102/networksecurity "HTTP/1.1 200 OK"
[2026-06-10 10:02:56,869] 1025httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2026-06-10 10:02:56,875] 107dagshub - INFO - Initialized MLflow to track repo "saeesawant0102/networksecurity"
[2026-06-10 10:02:56,877] 107dagshub - INFO - Repository saeesawant0102/networksecurity initialized!
[2026-06-10 10:02:56,877] 18root - INFO - Initiate the data ingestion
[2026-06-10 10:02:59,820] 70root - INFO - Performed train test split on the dataframe
[2026-06-10 10:02:59,820] 71root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-06-10 10:02:59,823] 77root - INFO - Exporting train and test file path.
[2026-06-10 10:02:59,936] 85root - INFO - Exported train and test file path.
[2026-06-10 10:02:59,936] 20root - INFO - Data Initiation Completed
[2026-06-10 10:02:59,963] 24root - INFO - Initiate the data Validation
[2026-06-10 10:03:00,067] 31root - INFO - Required number of columns:2
[2026-06-10 10:03:00,067] 32root - INFO - Data frame has columns:31
[2026-06-10 10:03:00,067] 31root - INFO - Required number of columns:2
[2026-06-10 10:03:00,067] 32root - INFO - Data frame has columns:31
[2026-06-10 10:03:00,347] 26root - INFO - data Validation Completed
[2026-06-10 10:03:00,347] 29root - INFO - data Transformation started
[2026-06-10 10:03:00,347] 63root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-06-10 10:03:00,347] 65root - INFO - Starting data transformation
[2026-06-10 10:03:00,404] 48root - INFO - Entered get_data_transformer_object method of Transformation class
[2026-06-10 10:03:00,404] 53root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-06-10 10:03:00,429] 43root - INFO - Entered the save_object method of MainUtils class
[2026-06-10 10:03:00,437] 47root - INFO - Exited the save_object method of MainUtils class
[2026-06-10 10:03:00,437] 43root - INFO - Entered the save_object method of MainUtils class
[2026-06-10 10:03:00,437] 47root - INFO - Exited the save_object method of MainUtils class
[2026-06-10 10:03:00,446] 33root - INFO - data Transformation completed
[2026-06-10 10:03:00,446] 34root - INFO - Model Training started
