[2026-06-10 09:59:55,872] 16root - INFO - Initiate the data ingestion
[2026-06-10 09:59:59,906] 70root - INFO - Performed train test split on the dataframe
[2026-06-10 09:59:59,906] 71root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-06-10 09:59:59,912] 77root - INFO - Exporting train and test file path.
[2026-06-10 10:00:00,071] 85root - INFO - Exported train and test file path.
[2026-06-10 10:00:00,071] 18root - INFO - Data Initiation Completed
[2026-06-10 10:00:00,121] 22root - INFO - Initiate the data Validation
[2026-06-10 10:00:00,284] 31root - INFO - Required number of columns:2
[2026-06-10 10:00:00,292] 32root - INFO - Data frame has columns:31
[2026-06-10 10:00:00,292] 31root - INFO - Required number of columns:2
[2026-06-10 10:00:00,292] 32root - INFO - Data frame has columns:31
[2026-06-10 10:00:00,653] 24root - INFO - data Validation Completed
[2026-06-10 10:00:00,653] 27root - INFO - data Transformation started
[2026-06-10 10:00:00,653] 63root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-06-10 10:00:00,653] 65root - INFO - Starting data transformation
[2026-06-10 10:00:00,723] 48root - INFO - Entered get_data_transformer_object method of Transformation class
[2026-06-10 10:00:00,723] 53root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-06-10 10:00:00,762] 43root - INFO - Entered the save_object method of MainUtils class
[2026-06-10 10:00:00,770] 47root - INFO - Exited the save_object method of MainUtils class
[2026-06-10 10:00:00,770] 43root - INFO - Entered the save_object method of MainUtils class
[2026-06-10 10:00:00,779] 47root - INFO - Exited the save_object method of MainUtils class
[2026-06-10 10:00:00,784] 31root - INFO - data Transformation completed
